guid,name,unit,tier,condition,modifiers,descriptor
1470213751,Primary Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-1315478418,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-208121356,Primary Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
409165231,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-2097352908,Primary Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
1612184116,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-57462538,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1752758196,Primary Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
722599012,Primärangriff,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
128007572,Primärangriff,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
2111431121,Raging Tempest,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1760359784,Rain of Bolts,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1428855842,Rat Hole,(no source unit),-,SelfCast,,Self/ally effect — works on press
1479612756,Recall & Revive Companion,(no source unit),-,SelfCast,Channel,Self/ally effect — works on press
-223453383,Roar,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1191439206,Rytuał Krwi,(no source unit),-,SelfCast,,Self/ally effect — works on press
189403977,Sanguine Coil,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
1239155316,Sea Serpent Acid Puke,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
436038744,Shadow Leap,(no source unit),-,Movement,,Mobility / travel — no target needed
445289088,Shadow Leap,(no source unit),-,Movement,,Mobility / travel — no target needed
-20922272,Shadow Leap,(no source unit),-,Movement,,Mobility / travel — no target needed
817680188,Shadow Meld,(no source unit),-,SelfCast,,Self/ally effect — works on press
-880131926,Shadowbolt,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1873182450,Shapeshift Bear Dash,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
833416928,Shapeshift Wolf Leap Travel Blackfang,(no source unit),-,Movement,,Mobility / travel — no target needed
1335008684,Shockwave,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-1951127647,Shriek,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1193297071,Siege Golem,(no source unit),-,SelfCast,Channel,Self/ally effect — works on press
-1712538598,Sit,(no source unit),-,SelfCast,,Self/ally effect — works on press
-91023537,Sit,(no source unit),-,SelfCast,,Self/ally effect — works on press
1651864139,Sit,(no source unit),-,SelfCast,,Self/ally effect — works on press
935984304,Sit,(no source unit),-,SelfCast,,Self/ally effect — works on press
1121958763,Smack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1259884575,Smash,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
477749225,Snapshot,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
2138402840,Soulburn,(no source unit),-,Summon,,Summons units/allies — no aim needed
1650878435,Spectral Guardian,(no source unit),-,Summon,,Summons units/allies — no aim needed
-781549505,Spectral Leap,(no source unit),-,Movement,,Mobility / travel — no target needed
1660492999,Spectral Strike,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-290102537,Spectral Strike,(no source unit),-,Movement,,Mobility / travel — no target needed
1714996121,Spectral Strike,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
247896794,Spectral Wolf,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1216522353,Stomp,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-1355723507,Storm Eye Of The Storm Recast,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
965421878,Subdue Mount,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1297311521,Summon Fallen Angel,(no source unit),-,Summon,,Summons units/allies — no aim needed
-27840697,Swing,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1637511208,Tailor Shapeshift,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
1550864188,Teleport,(no source unit),-,Movement,,Mobility / travel — no target needed
98022305,Teleport,(no source unit),-,Movement,,Mobility / travel — no target needed
1088859718,Teleport,(no source unit),-,Movement,,Mobility / travel — no target needed
-345652149,Tendon Swing,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1428039996,Toad Leap,(no source unit),-,Movement,,Mobility / travel — no target needed
680554094,Treant Corrupted Melee Attack,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-802865471,Treant Mantrap Corrupted Spit,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1734337277,Undead Arena Champion Awake Sequence,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-782050236,Undead Arena Champion Chains Of Death,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1810214745,Undead Arena Champion Charge,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-1175912131,Undead Arena Champion Disengage,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1756717462,Undead Arena Champion Kick,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
2136656017,Undead Arena Champion Leap Strike,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-1781725233,Undead Arena Champion Sweep Attacks,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
1322698651,Undead Arena Champion Twinblade Throw,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-2023636973,Undead Arena Champion Windslash,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
-1966260928,Undead Banshee Morgana Dash Dash,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-1942495608,Undead Banshee Morgana Dash Strike,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1272200774,Undead Bishop Of Death Corpse Explosion,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1971375367,Undead Bishop Of Death Corpse Explosion Hard,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
852659329,Undead Bishop Of Death Small Explosion,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
-200440242,Undead Shadow Soldier Gate Boss Shadow Strike Dash,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1478784055,Undead Shadow Soldier Shadow Strike Dash,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-818533945,Undead Skeleton Apprentice Minion Projectile,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
-552245952,Undead Zealous Cultist Raise Dead,(no source unit),-,Summon,Channel,Summons units/allies — no aim needed
-1845982676,Unholy Chains Of Death,(no source unit),-,Summon,,Summons units/allies — no aim needed
1351498027,Unholy Unstable Arachnid Recast,(no source unit),-,Summon,,Summons units/allies — no aim needed
401668748,Vampire Blood Knight Dash,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1180130515,Vampire Claws Primary Melee Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
2094399595,Vampire Claws Primary Melee Attack Unholy,(no source unit),-,Summon,Combo,Summons units/allies — no aim needed
-2092012453,Vampire Claws Primary Mounted,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-621324159,Vampire Claws Skewering Leap,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1957381608,Vampire Claws Skewering Leap Unholy,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-496335760,Vampire Claws Vault Slash,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1217790595,Vampire Claws Vault Slash Unholy,(no source unit),-,Summon,,Summons units/allies — no aim needed
-999342671,Vampire Cliff Leap Travel,(no source unit),-,Movement,,Mobility / travel — no target needed
1398187000,Vampire Daggers Call Daggers,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1239800293,Vampire Daggers Primary,(no source unit),-,Summon,,Summons units/allies — no aim needed
873699859,Vampire Daggers Primary Mounted,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
367876187,Vampire Dual Hammers Primary Melee Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-1612983976,Vampire Dual Hammers Storm Mace,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
859877682,Vampire Leap Attack Travel,(no source unit),-,Movement,,Mobility / travel — no target needed
-127510613,Vampire Leap Travel Recast,(no source unit),-,Movement,,Mobility / travel — no target needed
986693563,Vampire Mount Athletic Dismount Travel,(no source unit),-,Movement,,Mobility / travel — no target needed
131953285,Vampire Pollaxe Lunge,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1209038175,Vampire Pollaxe Lunge Dash,(no source unit),-,Movement,,Mobility / travel — no target needed
-655343218,Vampire Pollaxe Primary Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
578807372,Vampire Pollaxe Sweep And Smash,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-768614933,Vampire Pollaxe Sweep And Smash Recast,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
89236731,Vampire Twin Blades Javelin,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
210529811,Vampire Twin Blades Javelin Recast,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
298784800,Vampire Twin Blades Primary Melee Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
1364381862,Vampire Twin Blades Primary Mounted,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
305230608,Veil of Blood,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-498302954,Veil of Bones,(no source unit),-,Summon,,Summons units/allies — no aim needed
711231628,Veil of Chaos,(no source unit),-,Movement,,Mobility / travel — no target needed
1711943933,Veil of Chaos,(no source unit),-,Movement,,Mobility / travel — no target needed
1709284795,Veil of Frost,(no source unit),-,Movement,,Mobility / travel — no target needed
-935015750,Veil of Illusion,(no source unit),-,Summon,,Summons units/allies — no aim needed
1994950191,Veil of Illusion,(no source unit),-,Summon,,Summons units/allies — no aim needed
-84816111,Veil of Storm,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-358319417,Void,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-859352730,Volatile Arachnid,(no source unit),-,Summon,,Summons units/allies — no aim needed
-1136860480,Ward of the Damned,(no source unit),-,SelfCast,,Self/ally effect — works on press
318813926,Ward of the Damned,(no source unit),-,Summon,,Summons units/allies — no aim needed
2096535189,Werewolf Chieftain Shadow Dash Clone,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-689229573,Winter Wolf Howl,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1745021468,Wisp Dance,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1910899893,Wolf Cursed Howl,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-242769430,Wraith Spear,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-898001858,X-Strike,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-326374250,Вампирское проклятье,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-1490887838,Основная атака,(no source unit),-,Summon,Combo,Summons units/allies — no aim needed
-107743040,Подчинение людей,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-2138455533,粉碎,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
1790847128,長押しして血を採る,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-297165667,Gloomrot Ace Incinerator Flame Shot,Ace Incinerator,T4,Aimed,Channel,Aim at a target or direction — fires downrange
-1462866563,Gloomrot Ace Incinerator Flame Spreader,Ace Incinerator,T4,CloseRange,Channel,Needs enemies next to / in front of you
-1954926268,Primary Attack,Ace Incinerator,T4,Aimed,,Aim at a target or direction — fires downrange
1492585365,Arctic Leap,Adam the Firstborn,T4,Aimed,,Aim at a target or direction — fires downrange
1795073911,Arctic Leap,Adam the Firstborn,T4,Aimed,,Aim at a target or direction — fires downrange
-2054557525,Arctic Leap,Adam the Firstborn,T4,Aimed,,Aim at a target or direction — fires downrange
-820078889,Eye of the Storm,Adam the Firstborn,T4,CloseRange,Channel,Needs enemies next to / in front of you
-741006712,Monster Final Projectile,Adam the Firstborn,T4,Aimed,,Aim at a target or direction — fires downrange
-1503327574,Primary Attack,Adam the Firstborn,T4,CloseRange,Channel,Needs enemies next to / in front of you
-1659620404,Primary Attack,Adam the Firstborn,T4,Aimed,Combo,Aim at a target or direction — fires downrange
723715376,Primary Attack,Adam the Firstborn,T4,CloseRange,,Needs enemies next to / in front of you
1853611622,Primary Attack,Adam the Firstborn,T4,CloseRange,Combo,Needs enemies next to / in front of you
164595507,Primary Attack,Adam the Firstborn,T4,CloseRange,,Needs enemies next to / in front of you
764489448,Primary Attack,Adam the Firstborn,T4,CloseRange,Channel,Needs enemies next to / in front of you
-570933441,Spectral Strike,Adam the Firstborn,T4,Aimed,,Aim at a target or direction — fires downrange
1808542763,Spectral Strike,Adam the Firstborn,T4,Aimed,,Aim at a target or direction — fires downrange
927872126,Golpe Espectral,"Adam, o Primogênito",T4,Aimed,,Aim at a target or direction — fires downrange
1808492070,Arctic Leap,Albert the Duke of Balaton,T4,Summon,,Summons units/allies — no aim needed
1790744720,Arctic Leap,Albert the Duke of Balaton,T4,Aimed,,Aim at a target or direction — fires downrange
1421967280,Cursed Toad King Frog Vomit,Albert the Duke of Balaton,T4,Summon,,Summons units/allies — no aim needed
-1864096491,Cursed Toad King Poison Rain,Albert the Duke of Balaton,T4,CloseRange,Channel,Needs enemies next to / in front of you
1718898538,Primary Attack,Albert the Duke of Balaton,T4,CloseRange,Combo,Needs enemies next to / in front of you
1292896032,Primary Attack,Albert the Duke of Balaton,T4,CloseRange,,Needs enemies next to / in front of you
-514415940,Primary Attack,Albert the Duke of Balaton,T4,CloseRange,,Needs enemies next to / in front of you
1583944483,Caminhada de Névoa,Alma de Sangue Primordial,T4,CloseRange,Channel,Needs enemies next to / in front of you
1558429115,Primary Attack,Alpha the White Wolf,T1,CloseRange,,Needs enemies next to / in front of you
-1654954396,Primary Attack,Alpha the White Wolf,T1,CloseRange,,Needs enemies next to / in front of you
-821573025,Spectral Strike,Alpha the White Wolf,T1,Aimed,,Aim at a target or direction — fires downrange
920051497,Wolf Boss Dash Attack Single,Alpha the White Wolf,T1,CloseRange,Channel,Needs enemies next to / in front of you
247740796,Wolf Boss Howl,Alpha the White Wolf,T1,Summon,,Summons units/allies — no aim needed
2145136774,Wolf Boss Maul Hard,Alpha the White Wolf,T1,CloseRange,,Needs enemies next to / in front of you
-1161539168,Wolf Boss Dash Attack Tripple,"Alpha, der weiße Wolf",T1,CloseRange,Combo|Channel,Needs enemies next to / in front of you
-751119210,Archer Projectile,Archer,T3,Aimed,,Aim at a target or direction — fires downrange
-1385141321,Primary Attack,Arctic Bear,T3,CloseRange,Channel,Needs enemies next to / in front of you
-1041059859,Primary Attack,Arctic Bear,T3,CloseRange,,Needs enemies next to / in front of you
138513891,Primary Attack,Armoured Skeleton,T2,CloseRange,Combo,Needs enemies next to / in front of you
537620937,Primary Attack,Armoured Skeleton,T1,CloseRange,Combo,Needs enemies next to / in front of you
114484622,Cardinal Light Nova,Azariel the Sunbringer,T4,Aimed,Channel,Aim at a target or direction — fires downrange
194868388,Cardinal Light Wave,Azariel the Sunbringer,T4,Aimed,Channel,Aim at a target or direction — fires downrange
-1381729810,Cardinal Summon Aide,Azariel the Sunbringer,T4,Summon,,Summons units/allies — no aim needed
-16930230,Cardinal Summon Orb,Azariel the Sunbringer,T4,Summon,,Summons units/allies — no aim needed
-744145902,Wolf Shared Dash Attack,Bandit Wolf,T1,CloseRange,,Needs enemies next to / in front of you
-1160883278,Primary Attack,Banshee,T3,CloseRange,,Needs enemies next to / in front of you
633696135,Primary Attack,Banshee,T3,CloseRange,Channel,Needs enemies next to / in front of you
-1398375841,Primary Attack,Banshee,T3,Aimed,,Aim at a target or direction — fires downrange
-1912093062,Primary Attack,Banshee,T3,CloseRange,Channel,Needs enemies next to / in front of you
-930815588,Undead Banshee Projectile,Banshee,T3,Aimed,,Aim at a target or direction — fires downrange
1168210403,Primary Attack,Baron du Bouchon the Sommelier,T4,CloseRange,Channel,Needs enemies next to / in front of you
1078822594,Primary Attack,Baron du Bouchon the Sommelier,T4,CloseRange,,Needs enemies next to / in front of you
-1157907958,Primary Attack,Baron du Bouchon the Sommelier,T4,CloseRange,,Needs enemies next to / in front of you
215933642,Sanguine Coil,Baron du Bouchon the Sommelier,T4,Aimed,Channel,Aim at a target or direction — fires downrange
-1252510507,Barrel Roll,Barrel Disguise,T3,CloseRange,,Needs enemies next to / in front of you
1311267272,Primary Attack,Batoon,T3,CloseRange,Combo,Needs enemies next to / in front of you
1741189817,Arctic Leap,Beatrice the Tailor,T2,Movement,,Mobility / travel — no target needed
88850785,Gargoyle Wing Shield Emerge,Beatrice the Tailor,T2,CloseRange,,Needs enemies next to / in front of you
183752077,Legion Gargoyle Relocate Forward Init Apply Targetbuff,Beatrice the Tailor,T2,CloseRange,,Needs enemies next to / in front of you
-915929892,Primary Attack,Beatrice the Tailor,T2,CloseRange,Combo,Needs enemies next to / in front of you
701450949,Spectral Strike,Beatrice the Tailor,T2,Aimed,,Aim at a target or direction — fires downrange
1166812757,Salto ártico,Bestia asesina,T4,Movement,,Mobility / travel — no target needed
1749064378,Primary Attack,Blood Golem,T4,CloseRange,Channel,Needs enemies next to / in front of you
-2060534730,Primary Attack,Blood Golem,T4,CloseRange,Combo,Needs enemies next to / in front of you
-1660458588,Primary Attack,Blood Golem,T4,Aimed,,Aim at a target or direction — fires downrange
-1717961213,Legion Blood Prophet Blood Burn,Blood Prophet,T3,CloseRange,Channel,Needs enemies next to / in front of you
-347082762,Legion Blood Prophet Projectile AOE,Blood Prophet,T3,Aimed,Channel,Aim at a target or direction — fires downrange
-1768784526,Dracula Blood Soul Absorb,Blood Soul,T4,Summon,Channel,Summons units/allies — no aim needed
1671419025,Primary Attack,Blood Treant,T3,CloseRange,Channel,Needs enemies next to / in front of you
-1743551272,Bandit Bomb Throw,Bomber,T2,CloseRange,,Needs enemies next to / in front of you
-1416105872,Dash,Boyo,T3,Movement,,Mobility / travel — no target needed
-91811178,Militia Hound Master Command,Boyo,T3,CloseRange,,Needs enemies next to / in front of you
-1449494345,Militia Hound Master Heal,Boyo,T3,CloseRange,,Needs enemies next to / in front of you
1219885177,Militia Hound Master Quick Shot,Boyo,T3,Aimed,Combo,Aim at a target or direction — fires downrange
1648996357,Militia Hound Master Tackel,Boyo,T3,CloseRange,,Needs enemies next to / in front of you
2031950279,Militia Hound Quick Dash,Brutus the Watcher,T3,CloseRange,,Needs enemies next to / in front of you
1707593926,Militia Hound Request Aid,Brutus the Watcher,T3,CloseRange,,Needs enemies next to / in front of you
340577476,Primary Attack,Brutus the Watcher,T3,CloseRange,,Needs enemies next to / in front of you
-1378417368,Church Of Light Cardinal Aide Projectile,Cardinal Aide,T4,Aimed,Channel,Aim at a target or direction — fires downrange
2108112601,Primary Attack,Cardinal Aide,T4,CloseRange,Combo,Needs enemies next to / in front of you
-1581417695,Nun Holy Projectile,Christina the Sun Priestess,T2,Aimed,Channel,Aim at a target or direction — fires downrange
-1754021382,Nun VBlood Spawn Minions,Christina the Sun Priestess,T2,Summon,,Summons units/allies — no aim needed
607644390,Primary Attack,Christina the Sun Priestess,T2,CloseRange,,Needs enemies next to / in front of you
1817985064,Church Of Light Cleric Intervene,Cleric,T4,CloseRange,,Needs enemies next to / in front of you
-587604072,Church Of Light Cleric Projectile,Cleric,T4,Aimed,,Aim at a target or direction — fires downrange
-819795639,Primary Attack,Cleric,T4,CloseRange,,Needs enemies next to / in front of you
-444905742,Bandit Cluster Bomb Throw,Clive the Firestarter,T2,CloseRange,,Needs enemies next to / in front of you
192866635,Dash,Clive the Firestarter,T2,CloseRange,,Needs enemies next to / in front of you
1479036818,Explosive Bullet,Clive the Firestarter,T2,Aimed,,Aim at a target or direction — fires downrange
-1104043123,Primary Attack,Corpse Pile,T2,CloseRange,Channel,Needs enemies next to / in front of you
937561987,Primary Attack,Corpse Pile,T2,Aimed,,Aim at a target or direction — fires downrange
2015521421,Attaque principale,Crapaud visqueux maudit,T3,CloseRange,,Needs enemies next to / in front of you
1636251764,Primary Attack,Crimson Maiden,T4,CloseRange,,Needs enemies next to / in front of you
898033701,Primary Attack,Crow,T1,CloseRange,,Needs enemies next to / in front of you
-730437928,Bear Cursed Dash,Cursed Bear,T3,CloseRange,,Needs enemies next to / in front of you
160063059,Primary Attack,Cursed Bear,T3,CloseRange,Channel,Needs enemies next to / in front of you
1745337333,Primary Attack,Cursed Bear,T3,CloseRange,,Needs enemies next to / in front of you
-1684997624,Arctic Leap,Cursed Slime Toad,T3,Aimed,,Aim at a target or direction — fires downrange
750606882,Primary Attack,Cursed Slime Toad,T3,CloseRange,,Needs enemies next to / in front of you
736733073,Primary Attack,Cursed Slime Toad,T3,CloseRange,,Needs enemies next to / in front of you
-2117925151,Cursed Toad Spitter Projectile,Cursed Spitter Toad,T3,Aimed,Channel,Aim at a target or direction — fires downrange
-1317017789,Wolf Cursed Dash Attack,Cursed Wolf,T3,CloseRange,,Needs enemies next to / in front of you
847476786,Arctic Leap,Cyril the Cursed Smith,T4,Aimed,,Aim at a target or direction — fires downrange
-1889094547,Arctic Leap,Cyril the Cursed Smith,T4,Summon,Channel,Summons units/allies — no aim needed
546685538,Arctic Leap,Cyril the Cursed Smith,T4,Summon,Channel,Summons units/allies — no aim needed
151173850,Arctic Leap,Cyril the Cursed Smith,T4,Summon,Channel,Summons units/allies — no aim needed
1162725480,Arctic Leap,Cyril the Cursed Smith,T4,Summon,Channel,Summons units/allies — no aim needed
-332863103,Arctic Leap,Cyril the Cursed Smith,T4,Summon,Channel,Summons units/allies — no aim needed
-668888775,Frenzy,Cyril the Cursed Smith,T4,CloseRange,Channel,Needs enemies next to / in front of you
-329078808,Undead Cursed Smith Multi Dash,Cyril the Cursed Smith,T4,CloseRange,Channel,Needs enemies next to / in front of you
340003308,Undead Cursed Smith Multi Dash Charge,Cyril the Cursed Smith,T4,CloseRange,,Needs enemies next to / in front of you
-943061757,Undead Cursed Smith Spear Thrust,Cyril the Cursed Smith,T4,Aimed,Channel,Aim at a target or direction — fires downrange
-1498306516,Legion Night Maiden Seduce,Dark Temptress,T4,CloseRange,Channel,Needs enemies next to / in front of you
1336193986,Bandit Deadeye Ranged Attack,Deadeye,T1,Aimed,Channel,Aim at a target or direction — fires downrange
-1772111618,Primary Attack,Deer,-,CloseRange,Combo,Needs enemies next to / in front of you
-433204738,Veil of Shadow,Deer,-,Movement,,Mobility / travel — no target needed
2034438314,Primary Attack,Devoted,T3,CloseRange,,Needs enemies next to / in front of you
474075607,Primary Attack,Devoted,T3,Aimed,Channel,Aim at a target or direction — fires downrange
124285667,Paladin Divine Angel Dash,Divine Angel,T4,Aimed,,Aim at a target or direction — fires downrange
-105601189,Primary Attack,Divine Angel,T4,CloseRange,Combo|Channel,Needs enemies next to / in front of you
1878838878,Primary Attack,Domina the Blade Dancer,T3,CloseRange,Combo,Needs enemies next to / in front of you
1851411882,Primary Attack,Domina the Blade Dancer,T3,CloseRange,,Needs enemies next to / in front of you
788963695,Primary Attack,Domina the Blade Dancer,T3,CloseRange,,Needs enemies next to / in front of you
-1143650386,Primary Attack,Domina the Blade Dancer,T3,CloseRange,,Needs enemies next to / in front of you
-1372140488,Primary Attack,Domina the Blade Dancer,T3,CloseRange,,Needs enemies next to / in front of you
1191517048,Primary Attack,Domina the Blade Dancer,T3,CloseRange,,Needs enemies next to / in front of you
-1548349308,Voltage Electric Rod,Domina the Blade Dancer,T3,CloseRange,Channel,Needs enemies next to / in front of you
-177268000,Voltage Electric Sprint,Domina the Blade Dancer,T3,CloseRange,,Needs enemies next to / in front of you
2016544872,Voltage Leap Attack,Domina the Blade Dancer,T3,Movement,,Mobility / travel — no target needed
-1853889696,Voltage Leap Attack Hard,Domina the Blade Dancer,T3,Aimed,,Aim at a target or direction — fires downrange
2079740557,Dracula Spell Stone Circling Blood,Dracula Spell Stone Large Blood,T4,CloseRange,,Needs enemies next to / in front of you
-2005193286,Arctic Leap,Dracula the Immortal King,T4,SelfCast,,Self/ally effect — works on press
1128466169,Arctic Leap,Dracula the Immortal King,T4,Summon,,Summons units/allies — no aim needed
-1940289109,Arctic Leap,Dracula the Immortal King,T4,Aimed,,Aim at a target or direction — fires downrange
-1589312992,Arctic Leap,Dracula the Immortal King,T4,Aimed,,Aim at a target or direction — fires downrange
-703291679,Arctic Leap,Dracula the Immortal King,T4,CloseRange,,Needs enemies next to / in front of you
-1031474651,Arctic Leap,Dracula the Immortal King,T4,Movement,,Mobility / travel — no target needed
-847327302,Primary Attack,Dracula the Immortal King,T4,CloseRange,Combo,Needs enemies next to / in front of you
-1362190512,Primary Attack,Dracula the Immortal King,T4,CloseRange,,Needs enemies next to / in front of you
-1473399128,Shockwave,Dracula the Immortal King,T4,Aimed,Combo,Aim at a target or direction — fires downrange
364141768,Shockwave,Dracula the Immortal King,T4,Aimed,Combo,Aim at a target or direction — fires downrange
837193552,Spectral Leap,Dracula the Immortal King,T4,Movement,,Mobility / travel — no target needed
-2103202975,Spectral Leap,Dracula the Immortal King,T4,Movement,,Mobility / travel — no target needed
2121218473,Spectral Strike,Dracula the Immortal King,T4,Summon,Channel,Summons units/allies — no aim needed
-1765846328,Vampire Dracula Blood Shower,Dracula the Immortal King,T4,Aimed,,Aim at a target or direction — fires downrange
-412600077,Vampire Dracula Dash Left,Dracula the Immortal King,T4,CloseRange,,Needs enemies next to / in front of you
411852610,Vampire Dracula Dash Right,Dracula the Immortal King,T4,CloseRange,,Needs enemies next to / in front of you
-618038480,Vampire Dracula Side Step Left,Dracula the Immortal King,T4,CloseRange,,Needs enemies next to / in front of you
1915068828,Vampire Dracula Side Step Right,Dracula the Immortal King,T4,CloseRange,,Needs enemies next to / in front of you
1270706044,Veil of Blood,Dracula the Immortal King,T4,Movement,Channel,Mobility / travel — no target needed
-1924032736,Primary Attack,Dreadhorn,T3,CloseRange,Channel,Needs enemies next to / in front of you
-1362226779,Primary Attack,Dreadhorn,T3,CloseRange,Combo,Needs enemies next to / in front of you
-2081714952,Primary Attack,Dreadhorn,T3,CloseRange,,Needs enemies next to / in front of you
1267543813,Bandit Stone Breaker VBlood Reinforcement,Errol the Stonebreaker,T1,Summon,,Summons units/allies — no aim needed
1688748795,Primary Attack,Errol the Stonebreaker,T1,CloseRange,Channel,Needs enemies next to / in front of you
2078583785,Primary Attack,Errol the Stonebreaker,T1,Aimed,,Aim at a target or direction — fires downrange
1684865572,Primary Attack,Errol the Stonebreaker,T1,CloseRange,,Needs enemies next to / in front of you
593979922,Primary Attack,Errol the Stonebreaker,T1,CloseRange,Channel,Needs enemies next to / in front of you
-96620724,Primary Attack,Errol the Stonebreaker,T1,Aimed,,Aim at a target or direction — fires downrange
-331113507,Primary Attack,Errol the Stonebreaker,T1,CloseRange,,Needs enemies next to / in front of you
352570759,Legion Assassin Throw,Exsanguinator,T4,Aimed,,Aim at a target or direction — fires downrange
329043640,Primary Attack,Exsanguinator,T4,CloseRange,Combo,Needs enemies next to / in front of you
2138222166,Primary Attack,Exsanguinator,T4,CloseRange,,Needs enemies next to / in front of you
-2049927912,Primary Attack,Exsanguinator,T4,CloseRange,,Needs enemies next to / in front of you
-1762655324,Primary Attack,Exsanguinator,T4,CloseRange,,Needs enemies next to / in front of you
-55735320,Primary Attack,Exsanguinator,T4,CloseRange,,Needs enemies next to / in front of you
-1401138411,Spectral Strike,Exsanguinator,T4,Movement,,Mobility / travel — no target needed
-53726244,Spectral Strike,Exsanguinator,T4,Movement,,Mobility / travel — no target needed
-294731102,Spectral Strike,Exsanguinator,T4,Movement,,Mobility / travel — no target needed
1309712000,Paladin Fallen Angel Bubble Popper,Fallen Angel,T4,Aimed,Channel,Aim at a target or direction — fires downrange
