Ability,ID,UnitName,Description,Type,School,Categories,Mechanic,Condition,SpellTier,SourceTier,SourceLevel,IsVBlood,BaseCooldown,BaseCastTime,Magic,Unarmed,Sword,GreatSword,Axe,Mace,DualHammers,Spear,Daggers,Crossbow,Longbow,Pistols,Reaper,Whip,Claws,Pollaxe,Slashers,TwinBlades,Wolf,Bear,Rat,Spider,Toad,Werewolf,Gargoyle,Mounted,Enabled,Cooldown,Range,Charges,ChargeTime,AoE,ProjSpeed,LeapHeight,Duration,Healing,DamageScale,CooldownScale,ForceTimeout,PowerWindow,SummonCap,SummonTimeout,SummonUnits,CastSpeed,FreelyMove,InterruptOnHit,TransformOnly,Crash/Issue,Notes
Lucie Alchemic Madness Channel,-1617880256,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,AoE,,AoE,AoE,SelfCast,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Alchemic Madness Walk To Pos,550876706,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,,,SelfCast,,,,,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Barrier,1628835400,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,,,,,,,,0.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Clarity Potion,1310557060,,,AoE,,AoE,AoE,Aimed,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Crippling Goo,1501543883,,,AoE,,AoE,AoE,Aimed,,,,,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Deadly Injection,973975627,,,Projectile,,Projectile,Projectile,Aimed,,,,,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Healing Brew,466462408,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,AoE,,AoE; Heal,AoE; Heal,CloseRange,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Liquid Fire,846507754,,,AoE,,AoE,AoE,Aimed,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Panic Shot,2041625587,,,Projectile,,Projectile,Projectile,Aimed,,,,,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Pick Up Potion Pickup,505640659,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,,,,,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Pick Up Potion Walk To Potion,385165207,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,,,SelfCast,,,,,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Clarity Potion Drink,2026199659,,,,,,,,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Clarity Potion Drop,-1427506356,,,,,,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Clarity Potion Throw,-933544131,,,AoE,,AoE,AoE,CloseRange,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Liquid Fire Potion Drink,-984481115,,,,,,,CloseRange,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Liquid Fire Potion Drop,992060171,,,,,,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Liquid Fire Potion Throw,1738354598,,,AoE,,AoE,AoE,CloseRange,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Liquid Luck Potion Drink,1340177024,,,,,,,,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Liquid Luck Potion Drop,1404029255,,,,,,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Liquid Luck Potion Throw,362512593,,,AoE,,AoE,AoE,CloseRange,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Polymorph Potion Drink,2102890955,,,,,,,,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Polymorph Potion Drop,1834131915,,,,,,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Polymorph Potion Throw,211300082,,,AoE,,AoE,AoE,CloseRange,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Potion Base Drink,1808221013,,,,,,,,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Potion Base Drop,1492189086,,,,,,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Potion Base Throw,1364843731,,,AoE,,AoE,AoE,CloseRange,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Wondrous Healing Potion Drink,-425763347,,,Heal,,Heal,Heal,,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Wondrous Healing Potion Drop,1225529685,,,Heal,,Heal,Heal,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Ability Wondrous Healing Potion Throw,-1111373807,,,AoE,,AoE,AoE,CloseRange,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Clarity Potion Interact Pickup,-2147238865,,"""Cleanses MOST ailments, and does NOT make your skin fall off… anymore."" - Lucile’s Research Notes, Volume II, pg. 43",,,,,,,,,,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Liquid Fire Potion Interact Pickup,-1858007153,,"""There's no such thing as a little bit of lava."" - Lucile’s Research Notes, Volume I, pg. 129",,,,,,,,,,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Liquid Luck Potion Interact Pickup,-700139030,,"""Still having trouble quantifying luck, but... if Lady Megara says it's possible, I guess it must be!"" - Lucile Research Notes, Volume I, pg. 16",,,,,,,,,,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Polymorph Potion Interact Pickup,1328627408,,"""Changed recipe from using 'Unicorn' Dust to using Sheep Spittle. Should still work."" - Lucile’s Research Notes, Volume IV, pg. 228",,,,,,,,,,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Potion Base Interact Pickup,1524554505,,"""Cleanses MOST ailments, and does NOT make your skin fall off… anymore."" - Lucile’s Research Notes, Volume II, pg. 43",,,,,,,,,,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Player Wondrous Healing Potion Interact Pickup,-964075599,,"""Healing extract! Do not get it in your eyes. Trust me. Just don't."" - Lucile’s Research Notes, Volume III, pg. 84",Heal,,Heal,Heal,,,,,,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Roll,-1358113706,,,Movement,,Movement,Movement,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Toxin Bolt,2053056011,,,Projectile,,Projectile,Projectile,Aimed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Wake Golem Potion,-2029137394,,,AoE,,AoE,AoE,CloseRange,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man Trap Corrupted Melee Attack,998806487,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Melee,Melee,CloseRange,,,,,1,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Man Trap Corrupted Projectile,544237275,,,Projectile,,Projectile,Projectile,Aimed,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man Trap Corrupted Tripple Projectile,1033948100,,,Projectile,,Projectile,Projectile,Aimed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manticore Jump Back,1690919489,,,Movement,,Movement,Movement,Movement,,,,,0,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manticore Stagger,1806701827,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: reaction (counter/knockdown) — may be a real CC; evaluate in-game
Manticore Target Switch,1254689969,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantrap Corrupted Spawn Saplings,1026449575,,,Summon,,Summon,Summon,Summon,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantrap Sapling Corrupted Melee Attack,-267258900,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Melee,Melee,CloseRange,,,,,1,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Mantrap Sapling Corrupted Projectile,-581209791,,,Projectile,,Projectile,Projectile,Aimed,,,,,2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merciless Charge,245173408,,"Charge forward and grab an enemy dealing {HitDamage} magic damage, and push them in front of you. Deals {AreaDamage} magic area damage, inflicts Ignite and inflicts a Stun lasting {StunDuration}s when reaching maximum range or when colliding with another enemy or object.",Ultimate,Chaos,Chaos; Ultimate,,CloseRange,Tier3,,,,120,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mist Trance,110097606,,Block melee and projectile attacks for up to {duration}s. Turn immaterial and teleport to cursor location when an attack is blocked. Inflicts Weaken on nearby enemies when reappearing and grants Phantasm for each enemy hit.,Defensive,Illusion,Illusion; Defensive,Movement,CloseRange,Tier2,,,,10,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Lightning Pillar Speed Buff,828954334,,,Buff,,Other,Buff,,,,,,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Pierce Shock Swing,257418700,,,,,Other,,CloseRange,,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mosquito,268059675,,"Summon a spectral mosquito at target location that attracts nearby enemies and explodes after {duration}s dealing {damage} magic damage in an area, inflicting Weaken and fearing enemies for up to {fearduration}s. Grants Phantasm for each enemy hit.",Offensive,Illusion,Illusion; Offensive,AoE; Summon,Summon,Tier2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multishot,-1142698587,,"Fire 5 piercing arrows in a cone dealing %100 physical damage and knocking enemies back. Consumes Focus launching one additional arrow per stack, each dealing %20 bonus damage.",Secondary,,Other,Projectile,,,,,,8,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutant Rat Scratch Mutant Blood,-822790233,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,,,CloseRange,,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,-53273186,,Express your disagreement with someone.,,,Other,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Normal Form,1634335063,,,,Shapeshift,Shapeshift,,,,,,,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nun Ao E,1267698255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: TUNE
Open,34416775,,,,,Other,,,,,,,0.05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,897325595,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,2038916168,,,,,Other,,,,,,,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,2099812790,,,,,Other,,,,,,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,-927251534,,,,,Other,,,,,,,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,-2120286823,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,-310753479,,,,,Other,,,,,,,0.05,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,-2139983264,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,1399369255,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,-3758365,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,-191894025,,,,,Other,,,,,,,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,-1662046920,,,,,Other,,,,,,,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open/Close,-1934538221,,,,,Other,,,,,,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overloaded,-80003337,,,,,Other,,,,,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paladin On Aggro,-643255566,,,,,,,,,,,,1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paladin On Aggro,-1408189956,,,,,,,,,,,,1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pass Through,1306041529,,,Movement,,Other,Movement,,,,,,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantom Aegis,1852992863,,"Apply a shield to target ally or self that shields the target for {absorb} of your spell power, inflicts Weaken on nearby enemies and grants Phantasm for each enemy hit. The shield lasts up to {duration}s.",,Illusion,Other,,CloseRange,,,,,0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantom Aegis,-2053450457,,"Apply a shield to target ally or self that shields the target for {absorb} of your spell power, inflicts Weaken on nearby enemies and grants Phantasm for each enemy hit. The shield lasts up to {duration}s.",Defensive,Illusion,Illusion; Defensive,,CloseRange,Tier1,,,,11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pick Up,-1732463804,,,,,Other,,,,,,,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pick Up,165220777,,,,,Other,,,,,,,0.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pistols Explosive Shot Shot,-1145923288,,,Projectile,,Other,Projectile,Aimed,,,,,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pistols Explosive Shot Shot Recast,1913579080,,,Projectile,,Other,Projectile,Aimed,,,,,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pistols Primary Attack,-1490887838,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Projectile,,Other,Projectile,Summon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-452406649,,Point towards a direction.,,,Other,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Polarity Shift,-987810170,,Launch a projectile that deals {damage} magic damage and inflicts Static. You and the other target swap locations on impact. If the target is immune to the effect you instead teleport to the location of the target.,Offensive,Storm,Storm; Offensive,Movement; Projectile,Aimed,Tier2,,,,8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Surge,1112116762,,"Boost a target ally or self applying a fading haste that increases movement speed by {hastefactor}, attack speed by {attackspeed} and physical attacks inflict Ignite for {duration}s.",Defensive,Chaos,Chaos; Defensive,,,Tier1,,,,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Surge,1576686583,,"Boost a target ally or self applying a fading haste that increases movement speed by {hastefactor}, attack speed by {attackspeed} and physical attacks inflict Ignite for {duration}s.",,Chaos,Other,,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-8479990,,"Hold to charge a projectile that deals %60 - %120 physical damage on hit and grants Focus. Focus stacks up to 3 times and increases the effectiveness of your other Longbow skills. Fully charged shots pierces up to 2 enemies, subsequent hits deal %50 damage of the previous hit.",Projectile,,Other,Projectile,Summon,,,,,0.55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-1439531953,,Attack from your mount dealing %130 physical damage.,Melee,,Other,Melee,CloseRange,,,,,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-2097352908,,Perform a combo of melee attacks dealing %35/%35/%40 physical damage.,Melee,,Other,Melee,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Primary Attack,-1874296899,,Attack from your mount dealing %130 physical damage.,Melee,,Other,Melee,CloseRange,,,,,1.2,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-187744612,,"Fire a projectile that deals %100 physical damage on hit. Consumes Marked dealing %25 bonus damage and increasing your attack speed by %7 for 10s, this effect stacks up to 3 times.",Projectile,,Other,Projectile,Aimed,,,,,0.55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1612184116,,Attack from your mount dealing %130 physical damage.,Melee,,Other,Melee,CloseRange,,,,,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-57462538,,Attack from your mount dealing %130 physical damage.,Melee,,Other,Melee,CloseRange,,,,,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-1315478418,,Attack from your mount dealing %130 physical damage.,Melee,,Other,Melee,CloseRange,,,,,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1470213751,,Perform a combo of melee attacks dealing %35/%35/%40 physical damage.,Melee,,Other,Melee,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Primary Attack,784360484,,Perform a combo of melee attacks dealing %35/%35/%40 physical damage.,Melee,,Other,Melee,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Primary Attack,-413053555,,Fire a salvo of projectiles dealing %65/%50/%50 physical damage.,Melee,,Other,Melee,Aimed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-1360812741,,Attack from your mount dealing %130 physical damage.,Melee,,Other,Melee,CloseRange,,,,,1.2,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1070827786,,"Fire a projectile that deals %100 physical damage on hit. Consumes Marked dealing %25 bonus damage and increasing your attack speed by %7 for 10s, this effect stacks up to 3 times.",Projectile,,Other,Projectile,Summon,,,,,0.55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1752758196,,Perform a combo of melee attacks dealing %50/%50/%55 physical damage to the first enemy hit. Deals %20 additional physical damage in a small radius at the tip of the whip.,Melee,,Other,Melee,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-208121356,,Perform a combo of melee attacks dealing %35/%35/%40 physical damage.,Melee,,Other,Melee,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-843384411,,,Summon,,Other,Summon,CloseRange,,,,,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Primary Attack,-1108325193,,,,,Other,,CloseRange,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1691491221,,Perform a combo of melee attacks dealing %35/%35/%40 physical damage.,Melee,,Other,Melee,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Primary Attack,409165231,,Attack from your mount dealing %130 physical damage.,Melee,,Other,Melee,CloseRange,,,,,1.2,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,815729526,,"Hold to charge a projectile that deals %60 - %120 physical damage on hit and grants Focus. Focus stacks up to 3 times and increases the effectiveness of your other Longbow skills. Fully charged shots pierces up to 2 enemies, subsequent hits deal %50 damage of the previous hit.",Projectile,,Other,Projectile,Summon,,,,,0.55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-1428882023,,Perform a combo of melee attacks dealing %35/%35/%40 physical damage.,Melee,,Other,Melee,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prison Interact,-1825390216,,,,,,,,,,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pristine Heart,-1648249846,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",Heal,,Other,Heal,,,,,,0.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prog Boomerang,992487676,,,Projectile,,Other,Projectile,CloseRange,,,,,0.55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prog Homing Nova,-1085783726,,,Projectile,,Other,Projectile,,,,,,0.55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purifier Jet Punch Swing,452849117,,,,,Other,,CloseRange,,,,,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raging Tempest,2111431121,,"Dash forward and bounce between nearby enemies striking them for a total of %525 magic damage split across targets within the area over 3s. Additionally strikes all enemies in the area up to 4 times dealing %40 magic damage and inflicting Static. Afterward, dash towards your aim direction. Attack to end this effect early.",Ultimate,Storm,Storm; Ultimate,AoE,CloseRange,Tier3,,,,120,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rain of Bolts,-1760359784,,"Fire a salvo of {count} bolts into the air that rains down on your enemies dealing {damage} physical damage each in an area, inflicts Marked and a {duration}s fading snare.",Secondary,,Other,AoE,CloseRange,,,,,8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,2034689434,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",Heal,,Other,Heal,,,,,,0.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,-1047692800,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,Other,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,1575781217,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,Other,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,-304507736,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,Other,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,102790706,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,Other,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
